序	行	状态	四库字	四库卷	左锚	右锚
1	565	NOVOL		1下	地理髃神从食	下。南郊焚犊，北郊埋犊。
2	596	NOMATCH		2	祉福，舞功德，其班时令，	髃后。事毕，升灵台，望元
3	910	NOMATCH		4	郭璜，璜子侍中举，卫尉邓	，□弟步兵校尉磊，皆下狱
4	910	NOMATCH		4	，璜子侍中举，卫尉邓□，	弟步兵校尉磊，皆下狱死。
5	965	0.80	鰥	4	二千石详刑辟，理冤虐，恤	寡，乡孤弱，思惟致灾兴蝗
6	1287	NOMATCH		5	月丁巳，中郎将任尚有谸，	市。
7	1653	NOMATCH		6	永嘉[	]元年春正月戊戌，帝崩于
8	1991	NOMATCH		8	少府李膺、司隶校尉朱瑀[	]、颍川太守巴肃、沛相荀
9	2492	NOVOL		10上	也，为丞相，坐与灌夫朋党	市也。 帝省诏悲叹，复重
10	2503	NOVOL		10上	崩，未及葬，而梁贵人姊(	)嫕上书陈贵人枉殁之状。
11	2516	NOVOL		10上	汤官经用岁且二万万，太后	止，日杀省珍费，自是
12	2519	NOVOL		10上	其明加检	，勿兼容护。”自是亲属犯
13	2949	NOMATCH		16	，皆食枣菜。帝乃征禹还，	曰：“赤眉无谷，自当来东
14	3060	NOMATCH		17	送至河南，赐以乘舆七尺具	。□异曰：“三辅遭王莽、
15	3060	NOMATCH		17	河南，赐以乘舆七尺具□。	异曰：“三辅遭王莽、更始
16	3068	NOMATCH		17	”异曰：“虏兵临境，忸(	)忕小利，遂欲深入。若得
17	3190	NOMATCH		19	此不归，远行安之？”弇按	曰：“子舆弊贼，卒为降虏
18	3239	NOMATCH		19	建安二十三年，与大医令吉	、丞相司直韦况晃晔谋起
19	3263	NOMATCH		20	马奋戟，瞋目大呼左右曰“	”，众皆披靡。及至城门，
20	3265	NOMATCH		20	？”光武笑曰：“卿欲遂前	邪？”时铜马数十万众入清
21	3325	NOMATCH		21	，与诸贼会于檀乡，因号为	乡。檀乡渠帅董次仲始起茌
22	3381	NOMATCH		22	侯。从击王郎将儿宏等于南	，
23	3616	NOMATCH		25	陛下亲劳圣思，日	不食，忧在军役，诚欲以安
24	3733	NOMATCH		26	名，愿得降之”。更始乃征	。□年未二十，既引见，更
25	3733	NOMATCH		26	愿得降之”。更始乃征□。	年未二十，既引见，更始笑
26	3734	NOMATCH		26	：“赵憙真长者也。”即征	，引见，赐赜马，待诏公车
27	3734	NOMATCH		26	单车驰之简阳。吏民不欲内	憙憙□乃告譬，呼城中大人
