行号	上下文	补字	证据
L118	夏四月辛未，封皇子□旃为庆王，权宁王，楩岷王，橞谷王	=> (删)	修正：殿本直作旃，库本□为衍文（p44字形：封皇子旃爲慶王）
L136	资，越州平。是月，周王橚、晋王、□率河南、山西诸卫军出塞，筑城屯田	=> 棡	晋恭王朱棡，p47字形
L197	熥广泽王，衡主允熞怀恩王，徐王允□熙敷惠王，随母妃吕氏居懿文太子陵	=> (删)	衍文：殿本作允熈，库本允□熙衍□
L203	夏四月丁未朔，安南胡□气袭陈氏封爵，遣使察实以闻。己酉	=> 𡗨乞	ws直证安南胡𡗨乞襲陳氏；殿本𡗨+乞，库本气为乞之讹
L207	则罢之可耳。”戊辰，改封敷惠王允□熙瓯宁王，奉懿文太子祀。	=> (删)	衍文：殿本允熈甌寧王
L220	克西都，贼遁入海。辛亥，瓯宁王允□熙邸第火，王薨。	=> (删)	衍文：同允熈
L311	，及郊，皇太子迎入仁智殿，加殓纳□辛宫。九月壬午，上尊谥曰体天弘道	=> 梓	殿本納梓宮，库本□辛宫讹
L558	辛丑，杖编修章懋、黄仲昭，检讨庄□，谪官有差。是月，程信破山都掌蛮	=> 㫤	庄㫤（⿰日永），成化谏臣
L578	，败绩，都指挥柏隆、陈英战死。癿□加思兰犯固原、平凉。三月癸丑，赐	=> 癿	癿加思兰，⿱白乚字形
L581	酉，振京师饥民。是年，孛罗忽、癿□加思兰屡入安边营、花马池，犯固原	=> (删)	衍文：殿本癿加思蘭，库本癿□加
L582	天地于南郊。壬子，刘聚、王越败癿□加思兰于漫天岭。是月，土鲁番速檀	=> (删)	衍文：同上
L584	月壬辰，巡抚延绥都御史余子俊败癿□加思兰于榆林涧。九月辛卯，镇守浙	=> (删)	衍文：同上
L594	辛巳，浚通惠河。丁亥，满都鲁、癿□加思兰遣使来朝。九月丁未朔，日有	=> 癿	癿加思兰遣使来朝
L665	。乙卯，南京地震。己未，封皇弟祐□耆为寿王，祐梈汝王，祐橓泾王，祐	=> 榰	寿王祐榰，ws直证+⿰木耆字形
L706	圣宣文广武洪仁大孝肃皇帝，讳厚熜□，宪宗孙也。父兴献王祐杬，国安陆	=> (删)	衍文：殿本諱厚熜憲宗孫也
L838	礼部侍郎施凤来、张瑞图，詹事李国□普，俱礼部尚书东阁大学士，预机务	=> 𣚴	李国𣚴，ws直证+殿本⿰木皆形(𣚴)
L845	卓铭请开矿，不许。五月己巳，李国□普致仕。庚午，毁《三朝要典》。甲	=> 𣚴	同上，致仕
