中兴战功录 PUA 悬置（2026-09-10）：153 处 / 14 码位。无平行本，回退 □ 待核。

U+E7AE ×72  …正任观察使。⏎    【刘顺昌府（属京北路）】绍兴十…
U+E2BF ×50  …忠州团练使。⏎    【吴和尚原（属凤翔）】建炎四年…
U+E3A7 ×10  …绝，且乏粮，人无固志。同弟召诸将，励以忠义，歃血而誓…
U+E44E ×6  …人败出城去。方鏖战时，有官军头与虏之头战于城上移时，…
U+E22B ×4  …日，留李询为知州，而伪刺史萧德入蔡州，询遁去。撙取新息…
U+E3E3 ×3  …扬州。丙申，韩世忠以提举官董军于天长，以统制官解元军于…
U+E4B8 ×1  …明年，改元绍兴。五月，虏伪皇至没立郎君与其别将乌鲁折合…
U+E11F ×1  …休，折合大败遁去。没立方攻箭关，复选将击之，两寇卒不…
U+E24E ×1  …不许登城，以已所部兵守之。时延路副总管刘光远以道梗不能…
U+E47B ×1  …其城陋，谓诸将曰：彼可以靴尖倒耳。即下令来早府衙会食，…
U+E316 ×1  …。”张俊之爱妾张氏，即杭妓张也，颇知书。柘皋之役，俊遗…
U+E219 ×1  …。”遣瓜洲所掠镇江军校尉张千舟持书至军前，将士皆变色，…
U+E12D ×1  …。己亥，夜漏未至，撙令将士氵师入城，德遂遁。撙既再得…
U+E16F ×1  …所部力战，御营宿卫前军统制张，为流矢中其脑，没于阵。子…
