北齐书 PUA 悬置（2026-09-10）：266 处（151 码位）。无库内平行本，回退 □ 待点校本核补。

U+E862 ×44  …后难测，遂与高乾兄弟及黄门崔同心固请于高祖，言废帝本是…
U+E0EE ×7  …赵诤邮椤＝袢展洌忠嗵焓冢胫危斡淮印一○]…
U+E7BC ×6  …性深刻，为帝所信，荆州疾之如，故纳等因人之欲，抽肠系马…
U+E46C ×6  …史。父文符，通直侍郎。潜容貌伟，善言谈，少有成人志尚。…
U+E40B ×6  …书，为高祖所杀。顗父济及济弟俱奔江南。顗出后。[二○]…
U+E3FD ×5  …而归。又好不急之务，曾一夜索歇，及旦得三升。特爱非时之…
U+E797 ×4  …次长沙，知魏平江陵，已立梁王。乃为梁元举哀，三军缟素。…
U+E0D5 ×4  …袢展洌忠嗵焓冢胫危斡淮印一○]未必稽首天…
U+E0E8 ×4  …私，?⏎酆海儆谓鹇恚跹哉殃冢既粲猩瘢琜一八]…
U+E0E5 ×4  …殿荡尽也。指余棹?⏎诹蕉躺持迦茫蘸汗僦础酰…
U+E1A5 ×3  …邮椤＝袢展洌忠嗵焓冢胫危斡淮印一○]未必…
U+E40A ×3  …庇⒅卦尤尽Ｗ竺裆惺橹芎胝⒒泼爬膳砩省⒅笔⊙客醌…
U+E7A8 ×3  …橹芎胝⒒泼爬膳砩省⒅笔⊙客醌暋⒋髁晷＞浚笃蜕渫…
U+E0D9 ×3  …撤啬怪俑病Ｃ允吨鞫慈耍阂哑芏衲荆矸灼涞吲妫…
U+E669 ×3  …子大宝患伤寒，嗣明为之诊，候，退告杨愔云："邢公子伤寒…
U+E3E7 ×2  …致辟，祎称疾不动。五子，璇、、璞、瑗、瓒，并有志节，为…
U+E413 ×2  …琵琶，能为新曲，招城市年少歌为娱，游集诸倡家。与陈元康…
U+E442 ×2  …扬雄骋羽猎之辞，虽系以隤墙填，乱以收□落网，而言无补于…
U+E0ED ×2  …⒄鸥ㄅ妫赵诤邮椤＝袢展洌忠嗵焓冢胫危斡淮…
U+E035 ×2  …椤＝袢展洌忠嗵焓冢胫危斡淮印一○]未必稽…
U+E194 ×2  …莱百姓，过荷恩私，?⏎酆海儆谓鹇恚跹哉殃冢既…
U+E0EF ×2  …姓，过荷恩私，?⏎酆海儆谓鹇恚跹哉殃冢既粲猩…
U+E0E6 ×2  …酆海儆谓鹇恚跹哉殃冢既粲猩瘢琜一八]占对失图，…
U+E40C ×2  …雠耻而图雪，舟师次乎?⏎洳Ь蛴谙臎I。时遣徐州刺…
U+E0D3 ×2  …耻而图雪，舟师次乎?⏎洳Ь蛴谙臎I。时遣徐州刺史…
U+E3CB ×2  …任约于赤亭湖，景退走，大溃。虏快其余毒，缧囚膏乎野草，…
U+E0E2 ×2  …棹?⏎诹蕉躺持迦茫蘸汗僦础酰俺裰型…
U+E1AA ×2  …迦茫蘸汗僦础酰俺裰型Ｉ沌乱宰嘌裕没粕⒂…
U+E0F2 ×2  …没粕⒂诠侔蔽⑵锸汤桑嗌崛耸乱病；蛐Ｊ模…
U+E292 ×2  …掳送蚓恚粟刃＃糠治⒏庇⒅卦尤尽Ｗ竺裆惺橹…
U+E197 ×2  …尽Ｗ竺裆惺橹芎胝⒒泼爬膳砩省⒅笔⊙客醌暋⒋髁晷＞…
U+E1A4 ×2  …⒗舨可惺樽诨痴⒃蓖饫裳罩啤⒅毖苛跞视⑿Ｊ凡浚⑽…
U+E17A ×2  …宫，乃使骆提婆母陆?⏎衔趾撕魏檎涞任笥遥蠼…
U+E7A6 ×2  …涞任笥遥蠼栽ふ夜伞Ｏ舅恐贾剩枳劣裰澎恚…
U+E1A9 ×2  …夜伞Ｏ舅恐贾剩枳劣裰澎恚靡奈岫握椋堑已蓝…
