后汉书 46 处补字引入的 PUA 处理记录（2026-09-10）
确证映射 9 组：EA92敕 EA91饬 E9D4昃 F79C鷇 EB15妊 E526凶 EA58偬 EBD2刈 EB38浸
E001=校记占位已还原
以下残余回退为 □，待人工核点校本：
U+E094 ×1  …之介圣兮，讨臧仓之愬知；子反于彭城兮，爵管仲于夷…
U+E12D ×1  …若斯之类，并不兼书。余但次才行尤高秀者，不必专在…
U+E44A ×2  …起乎其中，峨峨硙硙，锵锵，隆穹盘回，嵎峗错崔。…
U+E4A8 ×4  …。十二月甲寅，太常河南孟为太尉。庚辰，司徒杨赐免…
U+E6AD ×1  …，成以为服。见鸟兽有冠角胡之制，遂作冠冕缨蕤，以…
U+E6CF ×1  …十辈，皆帻而衣妇人衣绣拥。时智者见之，以为服之不…
U+E7E8 ×1  …。周处风土记曰：“鹥，鹥也，以名自呼，大如鸡，生…
U+E7E9 ×4  …幽嶰，暴斥虎，搏狂兕，狱熊，抾封狶。或轻訬趬悍，…
U+E7E9 ×4  …。若乃阳阿衰斐之晋制，阐华羽之南音，所以洞荡匈臆…
U+E9CB ×2  …羽流苏前后，云气画帷裳，文画曲轓，长悬车等。太仆…
U+E9CB ×2  …太子、诸侯王，倚虎伏鹿，文画辀轓，吉阳筩，朱班轮…
U+E9F1 ×2  …思兮，终悇憛而洞疑；高阳其超远兮，世孰可与论兹？…
U+E9F1 ×2  …训，士思令谟。幽灵潜翳，哉缅矣！操以幼年，逮升堂…
U+EE93 ×2  …之。有三盖。一曰芝车，置耒耜之箙，上亲耕所乘也。…
