行	列	左文	右文	终裁路径
565	6	地理髃神从食	下。南郊焚犊，北郊埋犊。”	四库换词
3784	2	孏墯	者，耻不致丹，皆兼功自厉。邑聚	四库换词
3926	53	太息兮，登平阳而怀伤。悲时俗阸险	兮，哀好恶之无常。弃衡石而意量	古逸对照
4054	241	安，以病自上，因陈汉三百五十厄之	，宜蠲法改宪之道，及消伏灾异，	四库换词
4095	107	去其道。陛下乃者潜龙养德，幽厄屈	，即位之元，紫宫惊动，历运之会	四库换词
4246	84	奸，鯈常疾之。又野王岁献甘醪饧膏	，每辄扰人，吏以为利。鯈并欲奏	四库乱序
4256	138	今可先令太官、尚方、考功、上籞池	诸官，实减无事之物，五府调省中	四库乱序
4290	129	，吏士疲劳，甲胄生虮虱，弓弩弛得	，上下燋心，相望救护，仰希陛下	四库乱序
4293	107	皆宣明天道，以征来事者也。陛愍哀	海内新离祸毒，保宥生人，使得苏	四库乱序
4827	34	音一兮反。周处风土记曰：“鹥，鹥	也，以名自呼，大如鸡，生卵于荷	典籍深查
4906	87	寐次于圣心。瞻前顾后，岂蔑清𠡠惮	天乎？伊考自邃古，乃降戾爰兹，	典籍深查
4960	28	。家贫为郎，常独直台上，无被杫枕	，食糟糠。帝每夜入台，辄见崧，	四库乱序
4979	52	试以建等物色独问忠、平，而二愕错	不能对。朗知其诈，乃上言建等无	四库乱序
5293	89	固疾，司空年老，公其伛偻，勿露所	。”酺惶恐诣阙谢，还复视事。酺	四库换词
6354	45	浚谷，底幽嶰，暴斥虎，搏狂兕，狱	熊，抾封狶。或轻訬趬悍，廋疏嵝	古逸对照
6374	95	钟鸣既觞。若乃阳阿衰斐之晋制，阐	华羽之南音，所以洞荡匈臆，发明	古逸对照
6418	45	瞫取戈斩之，遂以为车右。”瞫音舒	反。	古逸对照
6632	3	孽造妖	，使樊丰之徒乘权放恣，侵夺主威	典籍深查
6698	60	封土象山于路侧，以*[菩]*刍棘	为神主祭之，以车轹軷而去。喻无	典籍深查
6724	187	常，所与髃居，皆有口无行，弃家之	子，或朝之斥臣，必有羊胜、伍被	典籍深查
6930	66	劝使捕子禁付宛狱，笞杀之。桓帝征	，下狱死。宗资字叔都，南阳安众	典籍深查
7345	59	外兄姜叙屯历城，阜少长*(诣)*	家，见叙母，说前在冀中时事，歔	宋本1200dpi目视
7467	118	，我虽克伯珪，众实疲敝，而忲骄将	，军之破败，在此举矣。杨雄有言	典籍深查
8024	61	奏，诏即征还，拜议郎。以寿终。 	，急疾之貌也。飞乃至天，喻士卒	音注1200dpi
8154	4	婞直者见	，故倚门。脏音葬。	典籍深查
8441	24	芝草生，太守刘祗欲上言之，以檀檀	。□对曰：“方今外戚豪盛，阳道	典籍深查
8441	26	生，太守刘祗欲上言之，以檀檀□。	对曰：“方今外戚豪盛，阳道微弱	典籍深查
8512	51	’又言：‘诸梁时，西域胡来献香罽	带割玉刀，时悔不取也。’又言：	典籍深查
8781	89	赐*(赠)**[缯]*布，*邪毗	□。*甘美酒食。*推潭仆远。*	典籍深查
8781	90	*(赠)**[缯]*布，*邪毗□	。*甘美酒食。*推潭仆远。*昌	典籍深查
