序号	行号	原文	改后	依据
89	6200	鲁连系箭而聊城□柝。从往则合，横来则离，安危无常，要在说夫。	鲁连系箭而聊城弛柝。从往则合，横来则离，安危无常，要在说夫。	宋刻本p484目视：正文'魯連係箭而聊城弛柝'，弛字形确凿
90	6202	奄受区夏，遂定帝位，皆谋臣之由也。故一介之策，各有攸建，子长谍之，烂然有第。夫女魃北而应龙翔，洪鼎声而军容息；溽暑至而鹑火栖，寒冰冱而鼋鼍蛰。今也，皇泽宣洽，海外混同，万方亿丑，并质共剂，若修成之不暇，尚何功之可立！立事有三，言为下列；下列且不可庶矣，奚冀其二哉！ 见史记。□，废也。柝，行夜木也。 于兹搢绅如云，儒士成林，及津者风摅，失涂者幽僻，遭遇难要，趋偶为幸。	奄受区夏，遂定帝位，皆谋臣之由也。故一介之策，各有攸建，子长谍之，烂然有第。夫女魃北而应龙翔，洪鼎声而军容息；溽暑至而鹑火栖，寒冰冱而鼋鼍蛰。今也，皇泽宣洽，海外混同，万方亿丑，并质共剂，若修成之不暇，尚何功之可立！立事有三，言为下列；下列且不可庶矣，奚冀其二哉！ 见史记。弛，废也。柝，行夜木也。 于兹搢绅如云，儒士成林，及津者风摅，失涂者幽僻，遭遇难要，趋偶为幸。	宋刻本p484目视：旧注'弛，廢也。柝，行夜木也'，注头与正文同字
92	6226	永元中，清河宋景遂以历纪推言水灾，而伪称洞视玉版。或弃至于□家业，入山林。后皆无效，而复采前世成事，以为证验。至于永建复统，则不能知。	永元中，清河宋景遂以历纪推言水灾，而伪称洞视玉版。或者至于弃家业，入山林。后皆无效，而复采前世成事，以为证验。至于永建复统，则不能知。	宋刻本p491目视：'或者至於棄家業'；库内'或弃'之弃为者之讹、□为弃
93	6238	旌性行以制佩兮，佩夜光与𫄹枝。□幽兰之秋华兮，又缀之以江蓠。	旌性行以制佩兮，佩夜光与琼枝。纚幽兰之秋华兮，又缀之以江蓠。	宋刻本p492目视：'佩夜光與瓊枝。纚(⿰糹麗)幽蘭之秋華兮'；𫄹为瓊之讹，□字形⿰糹麗即纚(ws文选作𦆈同字异码)
94	6251	天盖高而为泽兮，谁云路之勔平！□自强而不息兮，蹈玉阶之峣峥。	天盖高而为泽兮，谁云路之不平！勔自强而不息兮，蹈玉阶之峣峥。	宋刻本p495目视：'誰云路之不平！勔自強而不息兮'注'勔勉也'；库内勔误置、□为勔
95	6252	惧筮氏之长短兮龟钻东□以观祯。遇九鮧之介鸟兮，怨素意之不逞。	惧筮氏之长短兮钻东龟以观祯。遇九鮧之介鸟兮，怨素意之不逞。	宋刻本p495左页目视：'懼筮氏之長短兮鑽東龜以觀禎'，鑽=金+贊；库内'龟钻东'为'鑽東龜'讹乱，□为钻(鑽)
96	6259	漱飞泉之沥液兮，咀石菌之流英。翾鸟举而鱼跃兮，将往走乎八荒。过少皞之穷野兮，问三丘乎句芒。何道真之淳粹兮，去秽累而票轻。登蓬莱而容与兮，鳌虽抃而不倾。留瀛洲而采芝兮，聊且以乎长生。凭归云而遐逝兮，夕余宿乎扶桑。羫青岑之玉醴兮，餐沆瀣以为粮。发昔梦于木禾兮，谷橥□之高冈。朝吾行于汤谷兮，从伯禹于稽山。	漱飞泉之沥液兮，咀石菌之流英。翾鸟举而鱼跃兮，将往走乎八荒。过少皞之穷野兮，问三丘乎句芒。何道真之淳粹兮，去秽累而票轻。登蓬莱而容与兮，鳌虽抃而不倾。留瀛洲而采芝兮，聊且以乎长生。凭归云而遐逝兮，夕余宿乎扶桑。羫青岑之玉醴兮，餐沆瀣以为粮。发昔梦于木禾兮，谷昆仑之高冈。朝吾行于汤谷兮，从伯禹于稽山。	ws文选'穀崑崙之高岡'；崙U+5D19非GB2312故□；橥为崑之讹（同型见#102，宋本页位待补验）
97	6273	牛哀病而成虎兮，虽逢昆其鳖噬。□令殪而尸亡兮，取蜀禅而引世。死生错而不齐兮，虽司命其不晰。窦号行于代路兮，后膺祚而繁庑。	牛哀病而成虎兮，虽逢昆其必噬。鳖令殪而尸亡兮，取蜀禅而引世。死生错而不齐兮，虽司命其不晰。窦号行于代路兮，后膺祚而繁庑。	宋刻本p499目视：'雖逢昆其必噬。鱉(⿱敝魚)令殪而尸亡兮'注'鱉令蜀王名也'；库内鳖误置于噬前、□为鳖(鱉)
98	6285	仰矫首以遥望敞，魂□惘而无畴。偪区中之隘陋兮，将北度而宣游。	仰矫首以遥望兮，魂𢠵惘而无畴。偪区中之隘陋兮，将北度而宣游。	宋刻本p501目视+ws文选'魂𢠵惘而無疇'(U+22835)；敞为兮之讹
99	6286	行积冰之硙硙兮，清泉冱而不流。寒风凄而永至兮，拂穹岫之骚骚。玄武缩于壳中兮，螣蛇蜿而自纠。鱼幷鳞而□凌兮，鸟登木而失条。坐太阴之屏室兮，慨含欷而增愁。怨高阳之相寓兮，防颛顼之宅幽。庸织络于四裔兮，斯与彼其何瘳？望寒门之绝垠兮，纵余譄乎不周。迅蹒潚其媵我兮，骛翩踯而不禁。趋谽□之洞穴兮，摽通渊之碄碄。	行积冰之硙硙兮，清泉冱而不流。寒风凄而永至兮，拂穹岫之骚骚。玄武缩于壳中兮，螣蛇蜿而自纠。鱼矜鳞而并凌兮，鸟登木而失条。坐太阴之屏室兮，慨含欷而增愁。怨高阳之相寓兮，防颛顼之宅幽。庸织络于四裔兮，斯与彼其何瘳？望寒门之绝垠兮，纵余譄乎不周。迅蹒潚其媵我兮，骛翩踯而不禁。趋谽□之洞穴兮，摽通渊之碄碄。	宋刻本p502目视：'魚矜鱗而幷凌兮'，幷字形确凿；库内幷误置当矜、□为并(幷)
100	6286	行积冰之硙硙兮，清泉冱而不流。寒风凄而永至兮，拂穹岫之骚骚。玄武缩于壳中兮，螣蛇蜿而自纠。鱼矜鳞而并凌兮，鸟登木而失条。坐太阴之屏室兮，慨含欷而增愁。怨高阳之相寓兮，防颛顼之宅幽。庸织络于四裔兮，斯与彼其何瘳？望寒门之绝垠兮，纵余譄乎不周。迅蹒潚其媵我兮，骛翩踯而不禁。趋谽□之洞穴兮，摽通渊之碄碄。	行积冰之硙硙兮，清泉冱而不流。寒风凄而永至兮，拂穹岫之骚骚。玄武缩于壳中兮，螣蛇蜿而自纠。鱼矜鳞而并凌兮，鸟登木而失条。坐太阴之屏室兮，慨含欷而增愁。怨高阳之相寓兮，防颛顼之宅幽。庸织络于四裔兮，斯与彼其何瘳？望寒门之绝垠兮，纵余譄乎不周。迅蹒潚其媵我兮，骛翩踯而不禁。越谽𠽫之洞穴兮，标通渊之碄碄。	宋刻本p502目视：'[越]谽𠽫(口旁复杂字)之洞穴兮摽通淵之碄碄'；ws文选𠽫U+20F6B；趋为越之讹
101	6293	舒妙婧之纤□兮，扬杂错之筜徽。离朱唇而微笑兮，颜的礰以遗光。	舒妙婧之纤腰兮，扬杂错之袿徽。离朱唇而微笑兮，颜的礰以遗光。	宋刻本p503目视：'之纖腰兮揚雜錯之袿徽'；筜为袿之讹
102	6297	将答赋而不暇兮，爰整驾而亟行。瞻橥□之巍巍兮，临萦河之洋洋。伏灵龟以负亘兮，两也螭龙之飞梁。登阆风之曾城兮，构不死而为黙。屑瑶繠以为礟兮，□白水以为浆。抨巫咸以占梦兮，乃贞吉之元符。滋令德于正中兮，*(合)**[含]*嘉*(秀)**[禾]*以为敷。既垂颖而顾本兮，尔要思乎故居。安和静而随时兮，姑纯懿之所庐。 “孔子见禾三变，始于粟，生于苗，成于穟，乃叹曰：‘我其首禾乎？’”高诱注云：“禾穟向根，君子不忘本也。”	将答赋而不暇兮，爰整驾而亟行。瞻昆仑之巍巍兮，临萦河之洋洋。伏灵龟以负亘兮，两也螭龙之飞梁。登阆风之曾城兮，构不死而为黙。屑瑶繠以为礟兮，□白水以为浆。抨巫咸以占梦兮，乃贞吉之元符。滋令德于正中兮，*(合)**[含]*嘉*(秀)**[禾]*以为敷。既垂颖而顾本兮，尔要思乎故居。安和静而随时兮，姑纯懿之所庐。 “孔子见禾三变，始于粟，生于苗，成于穟，乃叹曰：‘我其首禾乎？’”高诱注云：“禾穟向根，君子不忘本也。”	ws文选'瞻崑崙之巍巍兮'；同#96（宋本页位待补验）
