序号	行	列	原文	改后	依据
L1	565	6	从食□下	从食坛下	ws卷1下直证「地理羣神從食壇下」
L2	3926	53	悲时俗阸险□兮	悲时俗阸险厄兮	ws卷28下显志赋「悲時俗之險厄兮」
L3	4054	241	三百五十厄之□	三百五十年之厄	ws卷30上直证+复合勘误(本方厄之二字窜序)
L4	4095	107	幽厄屈□	幽隐屈厄	ws卷30下「幽隱屈厄」+复合勘误
L5	4906	87	岂蔑清𠡠惮□天乎	岂蔑清庙惮来天乎	ws卷40下典引「豈蔑清廟憚來天乎」+注[二]「來正也」,复合勘误
L6	4827	34	鹥□也	鹥⿰鸟由也	ws「鷖｛鸟由｝」/guoxue注版/SKchar2025/管城碩記「無字」四源一致;字无Unicode码位,以IDS结构描述补
L7	5293	89	勿露所□	勿露所敕	中华点校本(guoxue123)/东汉文纪卷二
L8	6354	45	狱□熊	狱猘熊	中华书局校勘记引钱大昕「□当作猘」+李贤注「□亦狂也音吉曳反」互证
L9	6374	95	阐□华羽之南音	阐鼃华羽之南音	ws廣城頌专页「闡鼃」(出马季长集/范书卷60上)+guoxue「阐蛙」+严可均「闡鼀」;鼃U+9F03为GBK外字正合□因
L10	6418	45	瞫音舒□反	瞫音舒餁反	ws卷60下「舒餁反」+guoxue123注版「舒饪反」双版互证;书母沁韵与集韵式鸩切合
L11	6632	3	孽造妖□	因造妖孽	guoxue注版「因造妖{薛女}」(⿱薛子=孼)+ws「因造妖□」,复合勘误
L12	6698	60	刍棘□为神主	刍棘柏为神主	周礼大驭郑注「封土为山象以菩刍棘柏为神主」+ws载中华校勘记「據刊誤補與周禮鄭注合」
L13	6724	187	弃家之□子	或家之弃子	全后汉文/群书治要/册府元龟/ctext皆「或家之弃子」,复合勘误
L14	6930	66	桓帝征□下狱死	桓帝征瑨下狱死	guoxue123注版/ctext/四库本「桓帝征瑨诣廷尉」三源
L15	7345	59	阜少长*(诣)*□家	阜少长*(诣)*叙家	ws卷72引魏志「阜少長詣敘家見敘母」
L16	7467	118	而忲骄将□	而主骄将忲	guoxue123「而主骄将忲」+ws「而主驕將□」,复合勘误(忲字窜位)
L17	8024	61	□，急疾之貌也	鴥，急疾之貌也	guoxue123注版引毛诗注「鴥彼飞隼翰飞戾天…鴥急疾之貌也飞乃至天」
L18	8154	4	婞直者见□	婞直者见弃	guoxue123注版李贤注「佞媚者见亲故升堂;婞直者见弃故倚门」
L19	8441	24	以檀檀□。□对曰	以问檀。檀对曰	ws卷82下「以問檀。檀對曰」,复合勘误(本方重字窜入)
L20	8512	51	香罽□带割玉刀	香罽剑带割玉刀	guoxue123注版引曹植辩道论「香罽剑带割玉刀」三物并列
L21	8781	89	邪毗□□	邪毗𦂼䋠	ws白狼王歌页码位直证:𦂼U+260BC=⿰糹甚/䋠U+42A0=⿰糹甫;ws卷86拆写「糹甚糹甫」互证
