唐代墓志汇编续集 PUA 悬置（2026-09-10）
套语定谳：E20F窀(437) E3AB楸(125) E3E3昊(44) E4C0/E4C1琅(132) E266阎(43)
其余 4192 处为志文俗字/泐字（无点校本可核），回退 □：

U+E383 ×243  …情，四时无以□其信。蓝田之生璧，丹穴之育雏。岩与嵩…
U+E0BD ×205  …，佳城内廓，玄石徒铭，□□□。⏎（录自《洛阳出土历代…
U+E471 ×116  …晓露，松没朝烟。如何匣玉，永幽泉！（录自《隋唐五代墓志…
U+E152 ×114  …西光遽谢，奄游神於夜台。春秋三，以贞观廿三年二月十六日…
U+E4BC ×103  …城＊泯，□□□□。兰桂俱＊，令需转驾，万古千秋，□□…
U+E48C ×89  …，羽仪之望已□。建■临部，飞莅人。信之如敫日，归之如…
U+E3D7 ×85  …逼洛湄，频登五伐，报效三司。善徒言，沉こ绵岁，见沦西景…
U+E255 ×77  …秋七十有八。即以其月廿日殡於川乡龙首之原。世子文义，哀…
U+E4B8 ×69  …驾。弼谐千里，燮赞六条，庞统鬼其敏，王祥惭其政。岁满将…
U+E14A ×65  …处志玄门，荣利之听靡，希尘之匪羡。每望超升三界，树菩提…
U+E1B2 ×64  …则霄中坠羽，□旦□光，松筠见，芝兰被刈。去武德五年二月…
U+E4BE ×62  …里。起家左亲侍。驱驰阶阉，晖英廊庑；出入禁门，光生道路…
U+E3A3 ×54  …议。公明略川回，灵心镜澈，符冲之简要，得茂曾之清远，近…
U+E481 ×50  …□恫弥留，岂严君之识卦。於是花霄落，忽同逝水，春秋五十…
U+E316 ×41  …，时年卅四。呜呼哀哉，於君悼华於桃李，恸贞洁於琳琅，鼓…
U+E406 ×41  …奢。内彰贞婉（上泐）情俄标。敫敫攀柏，哀哀集蓼。（下…
U+E36F ×40  …徐世、上柱国临河县开国公柳、上柱国阳武县开国公□□、…
U+E441 ×40  …九年，除兖州长史，骥足高骋，光上佐。仁恕存乎讴颂，惠泽…
U+E407 ×38  …，追赠建义将军、都馆曹郎中，敦煌张氏鼻儿之墓焉。⏎（…
U+E76C ×36  …洛浦，北倚常山，白藏始谢，玄戒时，原野荒凉，松风萧瑟，…
U+E1CA ×34  …故宋君墓志铭君讳行，字钦仁，州广平人也。自殷王缔构，开…
U+E013 ×34  …琬琰於泉台。乃为铭曰：⏎德遥宗，庆流遐绪。唯君挺出，…
U+E2BD ×33  …拔山，势疑绝纽。君援枪而扫，奋格泽以销氛。战酣移晷，…
U+E31F ×32  …其信。蓝田之生璧，丹穴之育雏。岩与嵩岱齐峰，洋洋共…
U+E24C ×32  …尚书令宣简公肃之玄孙女也。自岐兆迹，神构敞於云霄；伊洛…
U+E7A1 ×32  …，□□其家，特以幼冲，遂从讠窜。神龙启运，天步中兴。访…
U+E253 ×31  …之劲勇，驱幽并之骑射，鼓之洛，只轮无返。宇文化及尽百越…
U+E222 ×31  …人。风流夙著，英华日新，忠惟后，孝感仁亲。天道盈缺，世…
U+E3D9 ×29  …荣授钺於秦室；十侯齐轨，盛锵於汉朝。并事该往谍，可略言…
U+E083 ×28  …丧。同安菲贱，共甘黜免，始无容，终怀坦虑。自三周启路，…
U+E408 ×27  …。汉德既衰，武帝拨乱，三方鼎寺，宝历犹归。文苞六谊，武…
U+E3F8 ×27  …皇极，鸿澜盛於乐推。固以凝绩图，腾芳缃史。曾祖归义，家…
U+E24E ×26  …男杨公墓志铭公讳敏，字桃汤，州洛川人也。上祖弘农太尉公…
U+E45F ×25  …，迈古超今，惟韩有之矣。君以岁标奇，挺魁梧於岐嶷，弱冠…
U+E422 ×23  …四州诸军事黎州刺史曹国公徐世、上柱国临河县开国公柳、…
U+E451 ×23  …六期至，仙容倾覆。⏎儿女孤，攀号恸哭，鸡鸣沈翳，泉门…
U+E4BF ×22  …，誉重三秦，声高六辅。爰动宸卷，光锡是与，倏悲杨冢，俄…
U+E3DD ×22  …，气逸兰荪，侍郎蕴美，彩掩。其一。庆流後叶，载诞君子…
U+E3DE ×22  …，天孙纪其三变。炜烨ゼ彩，照萼而滋华；ナ蔼披桢，耸金蓁…
U+E401 ×21  …辛丑朔廿日庚申，葬於北芒原度郭村南三里，与兄同域，龟筮…
U+E42B ×20  …。岂止鸟巢白水，鸾舞重泉，五流谣，两岐致咏而己。可谓天…
U+E0E1 ×20  …濯龙之苑。播肃雍於闺闱，流婉於邦国。然而孝友天发，仁爱…
U+E424 ×20  …。孔鲤闻诗，荀龙育德，曰蛊之，惟人之则。令问逾远，芳猷…
U+E382 ×20  …耸金徒之夕唱；晨趋紫殿，鉴玉之朝晖。太宗薄伐辽东，而君…
U+E402 ×19  …纶绋，悠悠旌旆，誉满禁中，威荒外。光阴遽促，人世随新…
U+E7AE ×19  …之功，享因淳之封。未闻肃奉栏，翊赞钩陈。增显观於文＊，…
U+E2C0 ×19  …馥，气逸兰荪，侍郎蕴美，彩掩。其一。庆流後叶，载诞君…
U+E1E5 ×19  …廿九日合葬於邙山，礼也。呜！风树难停，隙驹易往，痛长…
U+E3F9 ×18  …之术，不求学於一人。⏎正□羽之文，罕萦心於石□，义宁…
U+E76D ×18  …无忒，居忠不移，断机标训，贸称奇。其三。牖驷俄惊，驰晖…
U+E377 ×18  …何许人也，祖代阀难可详言。某雅志，窈窕其仪，蕴范维之…
U+E491 ×18  …躬轨物，偃草之雄逾劲；殖操矫，置水之方毕举。黄冠讲德，…
U+E467 ×17  …自良家，声著椒掖，合庭逾迈，巢驷不停，尝异□姑，匡天奇…
U+E2DF ×17  …日，常愿陪茔。有恻冕旒，爰加礻遂，并赐茔地於纪公之墓左…
