新唐书 PUA 悬置（2026-09-10）：561 处（82 码位）。无库内平行本，回退 □ 待点校本核补。

U+E171 ×68  …地东都。二月己卯，太常卿郑元定樊、邓，使者马元规徇荆、…
U+E4C0 ×58  …战于武亭川，败之。丁卯，义王此薨。是月，坊州刺史窦觎克…
U+E449 ×47  …姚元之罢。乙丑，天官侍郎崔玄为鸾台侍郎、同凤阁鸾台平章…
U+E837 ×37  …章。角簪导，青衣纁裳，其服用。大带及裨，外黑内黄，黑绶…
U+E401 ×25  …以腰舆升自东阶，入献祖室，开臽室。太祝、宫闱令奉神主各…
U+E4BF ×20  …、桓彦范、张柬之、袁恕己、崔韦玄罢。韦安石兼检校中书令…
U+E0CB ×20  …笾十二、豆十二、簋一、簠一、一、俎一。五方上帝、大明、…
U+E3FF ×17  …玺方一寸二分，文如受命玺。石感：方石再累，皆方五尺，厚…
U+E406 ×15  …之衾，内外入哭。 ⏎　　乃含。赞者奉盘水及，一品至…
U+E400 ×14  …也。《文王居明堂》之篇，带弓蜀，礼高禖，九门磔禳，国有…
U+E3AB ×14  …，光烛地，迸如散珠，北行近天咅灭，有声如雷。河鼓为将军…
U+E848 ×14  …。 ⏎　　回纥州三，府一：带林州以思结别部置。　金水…
U+E132 ×13  …处罗自攻太原，突利可汗与奚、、契丹、靺羯繇幽州道合，窦…
U+E0CC ×12  …七月乙酉，杀山南东道节度使裴。癸巳，剑南西川兵马使徐知…
U+E4BE ×10  …天监八年，冲之子员外散骑侍郎恒之上其家术。诏太史令将作…
U+E862 ×8  …，曰宁朔、顺化。朔方，上。本录，贞观三年更名。贞元七年…
U+E827 ×8  …举麾击鼓，变复而止。马射，设鼓金钲，施龙床。大傩，帅鼓…
U+E182 ×8  …⏎　　于是陇右节度使王君{大}请深入取偿。十二年，破…
U+E170 ×7  …外之西，南向。舅姑即席，妇执枣、粟入，升自西阶，东面再…
U+E404 ×7  …鸃旗队，第七骐驎旗队，第八騼蜀旗队，折冲都尉各一人检校…
U+E3FD ×7  …丑其为，生人辜，群盗乘之，如胃毛而奋。其剧者，若李密因…
U+E4BC ×6  …有司改造之。天子出通化门，释犮而入坛，遂祭神农氏，以后…
U+E409 ×6  …十二曰盈朔实，减三百五十一曰肉朔实。 ⏎　　辰率三百…
U+E4B8 ×6  …守赵佗者，佗捕之，遁免。往依胃婿雍丘令丘君明，转匿大侠…
U+E4C1 ×5  …败之。十二月庚戌，户部尚书李亘都统淮南、江东、江酉节度…
U+E4B6 ×5  …拭上面再，下面一。西面，左执付、右执箫以进。千牛郎将以…
U+E403 ×5  …鸠。 ⏎　　调露元年，鸣叕群飞入塞，相继蔽野，至二年…
U+E467 ×5  …。武德四年废，以尉氏、扶沟、焉陵置洧州，并置康阴、新汲…
U+E148 ×4  …则逐其节度使李愿，衙门都将李反。甲子，裴度、元稹罢。兵…
U+E4BA ×4  …、黑饼、糗饵、粉騑。豆以菲菹盆棨、菁菹鹿棨、芹菹兔棨、…
U+E844 ×4  …朔余，此纪历所以屡迁也。汉编、李梵等又以晦犹月见，欲令…
U+E789 ×4  …，周百里为塘，立二斗门以节旱，开田万顷。绛岩，故赤山，…
U+E491 ×4  …无弊而已更。两税新制，竭耗编，日日滋甚。陛下初即位，宜…
U+E16F ×4  …有反谋，不可谏。济素善卫令齐，因谒归，具告以诚。密置羊…
U+E3FE ×3  …三年遂以五县为州。土贡：黄鱼差。县五：有河阳军，建中四…
U+E4BD ×3  …河阴，斗米费钱百二十，晏为歇皇支江船二千艘，每船受千斛…
U+E308 ×3  …⒂佬丝す滥希Р可惺椤⒂骞幔Р可惺椤④旃螅…
U+E85F ×3  …行。 ⏎　　玄宗遣中人捕帟、溪沴南方，若水上言：“农…
U+E839 ×3  …我尝忝曹郎，不能死，宁以自辱亶腥，复欲污贤哲乎？”遂止…
U+E232 ×2  …新平郡太守薛羽、保定郡太守徐闻贼且至，皆弃城走。己亥，…
U+E4C3 ×2  …、裸、毛、介、水墉、坊、邮表叕、於菟、猫各在其方坛之后…
U+E482 ×2  …鸟集左藏库。十三年十月，怀州鵊巢内有黄雀往来哺食。十四…
U+E4C2 ×2  …墀又责谓，暤终不桡，墀曰：“皋信孤直。”俄贬暤句容令。…
U+E0D6 ×2  …冢癫可惺椤⒂佬丝す滥希Р可惺椤⒂骞幔Р可…
U+E0CD ×2  …旃螅可惺椤⒂⒐珓蓿⑹灞Γ⑼夹瘟柩谈蟆８咦谟…
U+E17E ×2  …召，人无衅焉，妖不妄作。今旱之灾，远被郡国，凶丑之孽，…
U+E84B ×2  …、焉耆、龟兹、疏勒，逾葱岭，汗、苏对沙那、康、曹、何、…
