旧五代史 PUA 悬置（2026-09-10）：62 处（13 码位）。无库内平行本，回退 □ 待点校本核补。

U+E16F ×17  …上将军。辛巳，以前安州刺史刘权知晋州军州事。以前密州刺…
U+E4CC ×13  …道左高阜以观之，命归厚领所部子马直突之。出没二十余合，…
U+E4BE ×11  …仪同三司、检校太尉、兼侍中李严为检校太尉、兼中书令，依…
U+E401 ×4  …，劳师弊旅，患难日滋，退保河需，久无斗志。昨东面诸侯，…
U+E4BC ×3  …野。攻战之势，难缓于寇围；飞免之勤，实劳于人力。永言辍…
U+E862 ×3  …。达览，帝俞其请。以鸿胪卿李唐室宗属，封莱国公，为二王…
U+E400 ×3  …千二百疋、龙脑香五斤、龙凤丝奚一百事于唐。又遣使张景报…
U+E4C0 ×2  …睦州刺史钱传琇、宝州刺史钱传瞿、明州刺史钱传球、义州刺…
U+E167 ×2  …充滑州节度使。戊戌，诏严禁钅钱。庚子，皇第二子金紫光禄…
U+E848 ×1  …物、银器十二并乾陁绫花繓枨越毛等杂织奇巧者各三十件。福…
U+E40E ×1  …恭，寿春人，本姓李，名彦威。角事太祖，性颖利，善体太祖…
U+E3FF ×1  …。丁酉，以翰林学士、起居郎张历为兵部员外郎、知制诰充职…
U+E4C1 ×1  …屯戍所犒军。以左龙武大将军袁义为右监门上将军，以振武军…
