清史稿 PUA 悬置（2026-09-10）：3299 处（236 码位）。无库内平行本，据「不猜不改」回退 □，待点校本核补。

U+E4CC ×2024  …之。癸未，上御经筵。改宣府六十卫为一府八县。戊子，命郎…
U+E844 ×100  …慎德堂苫次。硃谕“封皇六子奕为亲王”。⏎　　四月甲戌…
U+E401 ×62  …苏宿迁县硃家闸河决，命筑挑水霸。丁亥，筑江苏宝山县吴家…
U+E4C0 ×59  …保举经学之陈祖范、吴鼎、梁锡兴、顾栋高进呈著述，原赴部…
U+E4C1 ×59  …臣塔斯哈都统衔。是月，赈云南习瓘县水灾。贷江苏苏州等四…
U+E3AB ×53  …官身殉封疆，克全忠节，其有旅亲不能归，妻子不得养者，深…
U+E519 ×50  …苏巡抚，苏成额湖南巡抚。以祁为广西巡抚。以阿勒精阿为江…
U+E467 ×50  …、南汇、川沙。命都兴阿以艇师厄吴淞口。丙申，乐斌以纵匪…
U+E54F ×38  …仁皇后。子三：世宗，允祚，允。允祚六岁殇。女三：其二殇…
U+E4BC ×34  …逢甲戌，恭遇四旬。普天祝嘏，身々辰攵々。二章延洪绵宝箓…
U+E406 ×29  …得旨：“罗泽南正在攻剿，武汉契紧，不可回剿。”诏令曾国…
U+E14F ×25  …水源，泰、岱诸山自长白山来。水伏流，黄河未到积石亦是伏…
U+E232 ×25  …驻避暑山庄。甲戌，左都御史梅成休致。丙子，谕将贻误河工…
U+E3FF ×24  …明保率兵御之。英师犯福建厦门包台，参将陈胜元等击卻之。…
U+E837 ×22  …水灾。周人骥奏仁怀等处试织茧，各属仿行，上嘉之。⏎　…
U+E4BD ×21  …均褫职从军。乙亥，诏以黄州贼宗麕集，饬吴文镕出省剿贼。…
U+E400 ×18  …。壬午，追赠皇四兄履端郡王永为亲王，皇七兄悼敏皇子永琮…
U+E407 ×18  …馀家。十八年七月，陆川大火，毁民居。十月，梧州府城外大…
U+E7B0 ×17  …子材等军复丹阳。以故朝鲜王李世子熙袭爵，命侍郎皁保、副…
U+E760 ×17  …南：鸡公关。北：阿坑关。三角州同一。巴开、打略二汛。附…
U+E434 ×15  …昌会办巡防。乙卯，贼由赵卅、城陷深卅。命于河间、涿卅、…
U+E7B7 ×14  …宁雨蚕。二十四年八月，武邑有蟲食禾根。三十年十月，嘉兴…
U+E4C2 ×14  …渠。长宁驿。土司六：起塔镇、迭沟、大通川、王家堡、硃…
U+E836 ×13  …、蔺沟行宫二。港泉营、牛房，蓌屯、沙屯、高丽营、蔺沟、…
U+E4BE ×12  …⏎　　秋七月辛卯，诏以江南又旱，浙江米贵，河南歉收，…
U+E79F ×12  …安南国王黎维祎卒，封其侄黎维为安南国王。丁亥，免直隶宣…
U+E4B8 ×12  …入敌军劝告，下令停攻击，亲赴襄子关抚慰革命军，诏嘉之。…
U+E850 ×12  …。宝华山志十五卷。刘名芳撰。山志八卷。顾云撰。茅山志十…
U+E4B1 ×10  …匡辅，各共厥职，正己率属，克占忠诚，立纲陈纪，抚民恤众…
U+E3FE ×10  …。上具启太皇太后、皇太后进奉达鱼、鱼。庚申，上由山道…
U+E54E ×10  …攸室，羹墙得之。佑我后嗣，绵于万，匪万亿之。观德于兹，…
U+E402 ×9  …废，复淳朴之真，弘我夏声，秕乞西奏。澹欲缮性，一綖庶几…
U+E83F ×9  …之雅溪税馆于悬钟，以闽省旧有子头船包揽走私，永禁制造。…
U+E7AD ×8  …甲寅，命毛昶熙办河南团练，杜办山东团练。戊午，李若珠奏…
U+E7FD ×8  …捷，生擒首逆，清溪近边遂无夷。杨芳继任，用兵之区仅瓘边…
U+E7F8 ×7  …至郎勇岭，歧为二：一西南至大村入海；一西北流为抱漾水，…
U+E848 ×7  …。出诣桑畦北正中，相仪二人，忌进筐、钩，后右持钩，左提…
U+E4B7 ×7  …天香亭内，北乡。奉安神牌、香属、镫炉、斗香、拜褥各具，…
U+E0DA ×7  …礼而回，遂渐跋扈。元增建大黄、大虎山两砲台，分兵驻守。…
U+E4DC ×7  …附。⏎　　瓜别安抚司，系么夷人。其先玉珠迫，康熙四十…
U+E4E8 ×7  …⏎　　是年，黎维禧薨，弟维权理国事。十三年正月，维…
U+E4C9 ×6  …各部院纸硃支费，入官户口，赃银两，凡各省郡县丰歉水旱，…
U+E0DC ×6  …各二人。职衔同备弓处。箭匠、头、鞾皮、熟皮、鞍板、染氈…
U+E0D9 ×5  …得直降官。乙亥，诏曰：“朕恫在抱，每直省报灾，无不立霈…
U+E404 ×5  …、红旗、呼什哈、喇嘛洞七镇。安匠营巡司。县驿一。平泉州…
U+E632 ×5  …苔大踪湖，与盐城、宝应错。石、白驹三徬，有徬官。镇三：…
U+E839 ×5  …其山：东南曰巴颜特克山一名羖历山。西北，喀尔他和邵山。…
U+E4B9 ×5  …，神中央。盈庭万原帗。舞兮，犮原时低昂。酌酒原酳。三爵…
U+E842 ×5  …夷多槃瓠遗种，曰僚、曰伶、曰、曰僮、曰瑶、曰苗。其后蕃…
U+E6BA ×5  …河北道。河溢仪封，大学士高晋工，以裕城从。仪封埽工蛰陷…
U+E82A ×4  …太皇太后、皇太后进奉达鱼、鱼。庚申，上由山道幸乌拉行…
U+E794 ×4  …陈嘉猷、王允晋、李允符、范允、高玢、高怡、赵成簁、孙绍…
U+E766 ×4  …，繁。府东南百五十里。东南：山，西南：龟山。西北：新甫…
U+E0D4 ×4  …此为第一。明汤和惧赵宋遗族苞，拟废象山、弃滃洲，遂徙南…
U+E149 ×4  …府西北百二十里。西南：箬{}山。南：白峰、尖山。北：…
U+E4F9 ×4  …合碛溪、箬溪、鲁溪、中黄、三水，入建昌。县丞驻木高。箬…
U+E3FD ×4  …至城南为黄龙江，一南合囷山、解阬山水，至白石复歧，一东…
U+E0D8 ×4  …龛，执事官各事咸备。内府官省毕，分诣寝室前，跪上香，三…
U+E813 ×4  …祭。乾隆五十一年，国王世子李丧，礼部奏闻。诏以朝鲜世守…
U+E0DB ×4  …。⏎　　终献协丰清斝兮，三；扬翟籥兮，载愉。灵回翔兮…
U+E1B6 ×4  …去络仍弛罟，天心祐应节弥甘(澍)。二解仲夏时，司马教茇…
U+E853 ×4  …。两罍轩藏器目一卷。吴云撰。斋藏器目一卷。吴大澂撰。天…
U+E668 ×4  …所勘之界，系从尖高山起，东至札山，过狼牙山、磨石河头、…
U+E40E ×4  …居同则情可共见。即各司咨事画，亦有定所。近日惟阿桂每日…
U+E6F4 ×4  …兄七，与其邻争地而讼，知县吴元纳邻赇，逮七，下典史费长…
U+E71E ×4  …寻诏徵，不就，往来靖安间。披为僧，复蓄发游江南。顺治中…
U+E4D2 ×4  …李⏎　　贾国林妻韩  孙云妻白  图斡恰纳妻王依氏 …
U+E7AF ×3  …⏎　　冬十月庚辰朔，川军克龙场，匪首李永和等伏诛，赏提…
U+E7B2 ×3  …荃为陕甘总督。戊戌，日本使臣户玑来议琉球条款，不协，敕…
U+E7B3 ×3  …，以桂芳为科布多办事大臣。溥免，以萨廕图为科布多参赞大…
