石经考 PUA 悬置（2026-09-10）：100 处 / 18 码位。无平行本，回退 □ 待核。

U+EA28 ×58  …民之承保后髙【孔作慼】鲜防浮【下阙】试防尔【孔作汝】…
U+EB78 ×10  …既付【孔作孚已上髙宗肜日篇】遗任【孔作壬】父母弟迪乃…
U+EA26 ×7  …取禾三百廛兮狩【下阙】特彼君子素食　欿欿【毛…
U+E7E8 ×3  …人维旧【孔旧上有求下阙二字】【孔作求】旧【下阙】有志女…
U+E7E9 ×3  …孔作乃】口【下阙】民之承保后髙【孔作慼】鲜防浮【下阙…
U+EC27 ×3  …知【孔作崇】降□疾白【下阙】迪古我先后【下阙】民女有近…
U+E7DA ×2  …刘本无立字】郎中臣书上臣下皆当是著书者姓名或云此即蔡邕…
U+EC38 ×2  …为【下阙】仲子【板本有也字】未君则曷为祭仲子【阙一字】…
U+EAA7 ×2  …】惟孝友于兄【下阙】也周因于礼所损益可知【下阙已上为政…
U+EEE0 ×2  …尼可毁【阙二字】人之贤者丘也【阙三字】逾也仲尼日月也…
U+ECC6 ×1  …京师文字磨灭莫能知者奉勅与刘等考定⏎　　襍著论跋⏎…
U+E8E9 ×1  …下阙】兹雒【孔作洛】予维四方攸责亦维尔【下阙】有年于兹…
U+EEDE ×1  …作上】慎【下阙】防犹来毋死　岵三章章六句十【下阙】□【…
U+EB2A ×1  …阙】噐子赣问【下阙】乎异端斯也已　子曰【下阙】子【下阙…
U+F607 ×1  …阙】之则孙逺之则怨　子曰年【板本有而字】见恶爲其终也…
U+EBF5 ×1  …阙】子夏曰虽【阙五字】观者爲逺恐泥是防【下阙】其事君子…
U+EB8C ×1  …谿日防二人姓名尚存别有赵防刘张文苏傅桢左立孙表数人窃…
U+ED96 ×1  …或传写乖讹今与校勘官取其适中录为新加九经字様一卷请附于…
