隋书 PUA 悬置（2026-09-10）：222 处（47 码位）。无库内平行本，回退 □ 待点校本核补。

U+E807 ×28  …家，遣使赈给。庚午，陈将周罗攻陷胡墅，萧摩诃寇江北。辛…
U+E3AB ×23  …臣案《周礼》大宗伯之职云：‘燎祀司中、司令、风师、雨…
U+E4BE ×23  …，初尚未改。十二年，太常丞虞爵复引《周礼》明堂九尺之筵…
U+E0D7 ×17  …燕射、养庶老、适诸侯家，则服冕，七章十二等。衣三章，裳…
U+E149 ×9  …画轓，绿油盖，黄绞里，相思，金华末。斜注旂旗于车之左…
U+E4CC ×9  …同元年，邵陵王纶在南徐州，坐事。有野鸟如鸢数百，飞屋梁…
U+E4BC ×8  …辂、木辂、夏篆、夏缦、墨车、戋车。自篆已上，金涂诸末，…
U+E132 ×7  …公韩建业卒。丙午，契丹、奚、、室韦并遣使贡方物。壬子，…
U+E401 ×7  …群司百辟，佥谐厥议。但成周墟脊，弗堪葺宇。今可于伊、洛…
U+E4C1 ×6  …贲郎将高毗败济北郡贼甄宝车于监山。十一月丙辰，唐公入京…
U+E82D ×6  …、长鸣工人，皁地苣文；金钲、鼓、小鼓、中鸣、吴横吹工人…
U+E40E ×5  …骑常侍王亨、兼通直散骑常侍王来聘。壬申，车驾幸醴泉宫。…
U+E862 ×5  …服之。 ⏎　　绛褠衣公服，衣即单衣之不垂胡也。袖狭，…
U+E567 ×5  …狗、天残、卒起。一曰天杵，主羊。二曰天柎，主击殃。三曰…
U+E3FD ×4  …壑，十八九焉。于是相聚萑蒲，胃毛而起，大则跨州连郡，称…
U+E3FF ×4  …。其后又加至二百四十。又作礔历车，以威妇人。其决人罪，…
U+E433 ×4  …之器，饰以珠玉。为妃作七宝】，又为水殿，香涂粉壁，玉砌…
U+E84B ×4  …之，令特勤甸职摄其国事。南去汗六百里，东南去瓜州六千里…
U+E407 ×3  …而畏之也。夏迎赤熛怒者，火色票怒，其灵炎至明盛也。秋迎…
U+E4B8 ×3  …周制，皇后乘翠辂，率三妃、三弋、御媛、御婉、三公夫人、…
U+E41D ×3  …言五声，即羽声也。七曰‘俟利’，华言斛牛声，即变宫声也…
U+E467 ×3  …表诚。丰牺入荐，华乐在庭。原显既平，泉流又清。如云已望…
U+E404 ×3  …又曰，黄星坠，海水倾。亦曰，贲星坠而勃海决。星陨如雨，…
U+E402 ×3  …候凉，多风少雨。土宜小麦、青梁。山出金、银，多白雉。水…
U+E170 ×2  …宫。妃三日，鸡鸣夙兴以朝。奠于皇帝，皇帝抚之。又奠于…
U+E836 ×2  …用，交暢有期。弓矢斯发，盆{}将事。圆神致祀，北郊云…
U+E17E ×2  …大水。天统三年，并州汾水溢。曰：“水者纯阴之精，阴气洋…
U+E4BF ×2  …之应也。”下人将举兵围宫，而辟睨乘舆之象也。后果有侯景…
U+E300 ×2  …二卷 ⏎　　《海中仙人占体及杂吉凶书》三卷 ⏎　　…
U+E3FE ×2  …絺及铛蟹方》、《羹翙法》、《且膢朐法》、《北方生酱法》…
U+E839 ×2  …余骑，小者千余骑。织牦牛尾及古历毛以为屋。服裘褐，披…
U+E0CC ×1  …杀仪台之臣。惧罪畏威，动而内。蚕食郡县，鸩毒华夷，闻有…
U+E405 ×1  …郛郭不修，遂使游惰实繁，寇襄未息。今天下平一，海内晏如…
U+E230 ×1  …案《周礼》大宗伯之职云：‘燎祀司中、司令、风师、雨师…
U+E827 ×1  …及鼙、长鸣、中鸣等各十八具，鼓、金钲各二具。后部铙吹一…
U+E409 ×1  …之会，亦有姻不失亲。若使榛栗段修，贽馈必举，副笄编珈，…
U+E4BA ×1  …飨宴饮食。五星守酒旗，天下大甫，有酒肉财物，赐若爵宗室…
U+E53B ×1  …。江、汉气劲如杼。济水气如黑。滑水气如狼白尾。淮南气如…
U+E837 ×1  …局、泾州丝局、雍州丝局、定州绫局四局丞。右尚方，又别领…
U+E254 ×1  …杂元辰禄命》二卷 ⏎　　《河禄命》三卷梁有《五行禄命…
U+E4C0 ×1  …家恶也，天下乱也，辄造白玉之廷，又为白羽之箭，文物服饰…
U+E0DD ×1  …悬兮帷殿虚。呜呼哀哉！将宁甫，长违望苑。渡渭涘于造舟，…
U+E43D ×1  …，连踵复没，莫之能御。炀帝魂气慑，望绝两京，谋窜身于江…
U+E232 ×1  …吉日良辰，与琅琊王褒、彭城刘、河东裴政及宗人信等，为文…
U+E449 ×1  …满使于西蕃诸国。至罽宾，得码杯，王舍城，得佛经，史国得…
U+E57B ×1  …镔铁，锡，锦叠，细布，氍，毾，护那，越诺布，檀，金缕织…
U+E4B1 ×1  …是以秦戍五岭，汉事三边，或道堇相望，或户口减半。隋室恃…
