魏书 PUA 悬置（2026-09-10）：293 处（102 码位）。无库内平行本，回退 □ 待点校本核补。

U+E154 ×64  …所过田租之半。  ⏎　　神元年春正月，以天下守令多行…
U+E4C0 ×19  …，华藻云飞，金声夙振。中遇沈彖，赋诗以讯，忠显于辞，理…
U+E4CC ×18  …唯匡与肇抗衡。先自造棺，置于事，意欲舆棺诣阙，论肇罪恶…
U+E844 ×13  …后之崩，高祖不知所生。至如李、李惠之徒，猜嫌覆灭者十余…
U+E409 ×9  …，无不叹息。  ⏎　　同弟者，太宗时为乐陵太守。卒。…
U+E3AB ×8  …弊之门。如斯，则吉士盈朝，薪载焕矣。  ⏎　　诏付…
U+E4BC ×7  …乏水，悬绠汲河。帝令连舰上施贲辒，绝其汲路，又穿地道以…
U+E401 ×7  …月辛卯，诏曰：“灵丘郡土既褊脊，又诸州路冲，官私所经，…
U+E3FF ×6  …　元象元年春正月，有巨象自至易郡陂中，南兗州获送于鄴。…
U+E403 ×5  …州郡内戍悉已陷没，且路由三亚，贼已先据。孝芬所统既少，…
U+E406 ×5  …。司间司忿，言必从矣。朋党噂沓，自相同矣。浸润之譛，倾…
U+E837 ×4  …卯，以澍雨大洽，曲赦京师。以绫绢布百万匹及南伐所俘赐王…
U+E4BE ×4  …以城归国，综长史江革、司马祖恆、将士五千人悉见擒虏。肃…
U+E4C1 ×4  …常初，丁零翟猛雀驱逼吏民入白间山，谋为大逆。诏蒲与冀州…
U+E0D9 ×4  …；趋青州，路亦S上纶胍仕病＜次粲檬χ＝袢…
U+E0EF ×4  …纶剿拊ィ蚧囱簦玻蚯嗉街钫蚩刹还ザ恕Ｈ羲拇…
U+E405 ×4  …粪朽弗加，沾濡不及，而兹菌焱构，厥状扶疏，诚足异也。夫…
U+E4B0 ×3  …村坞，毒害民人，齐人号之为“沓榆贼”。先是，河南人常笑…
U+E848 ×3  …，诱夺刘璋，伪连孙氏，守穷踦区之地，僭号边夷之间。此策…
U+E4C6 ×2  …文部；以文帝之长子桓皇帝讳猗统一部，居代郡之参合陂北；…
U+E4BF ×2  …宗内虽图之，外形弥密，灵太后真忿之言，欲得往来显阳之意…
U+E0DD ×2  …秋官》司烜氏，邦若屋诛，为明焉曰：王道贵产，法理尚恩。…
U+E47D ×2  …古圣王，其为飨也，玄酒在堂而酒在下，所以崇本重原，降于…
U+E06D ×2  …青州，路亦S上纶胍仕病＜次粲檬χ＝袢粝榷…
U+E1A9 ×2  …胍仕病＜次粲檬χ＝袢粝榷ㄏ纶剿拊ィ…
U+E3AE ×2  …＜次粲檬χ＝袢粝榷ㄏ纶剿拊ィ蚧囱簦玻…
U+E0F0 ×2  …χ＝袢粝榷ㄏ纶剿拊ィ蚧囱簦玻蚯嗉街钫蚩…
U+E0E2 ×2  …街钫蚩刹还ザ恕Ｈ羲拇Σ环嗉剿浒危傩绽枪耍袒辰男…
